Date,adjclose,low,high,volume,open
2020-05-29,65.1,61.4,65.1,434400851.75,61.7
2020-05-28,61.7,61.4,63.25,165647121.0,62.8
2020-05-27,62.8,62.2,65.0,265319422.0,63.2
2020-05-22,63.2,61.45,64.3,249895364.75,61.9
2020-05-21,61.9,60.1,62.6,238500687.75,60.0
2020-05-20,60.0,59.85,64.2,467312477.75,62.1
2020-05-18,62.1,57.25,62.1,460459008.95,56.5
2020-05-15,56.5,55.6,58.35,603669887.35,54.2
2020-05-14,54.2,52.4,54.3,353165943.65,52.4
2020-05-13,52.4,50.95,53.4,353057160.75,51.25
2020-05-12,51.25,50.46,51.79,320562230.6,50.51
2020-05-11,50.51,50.31,51.15,127711880.6,50.51
2020-05-08,50.51,49.71,50.8,259054889.75,49.86
2020-05-07,49.86,49.86,51.15,174939964.75,51.0
2020-05-06,51.0,50.8,51.75,132121617.35,51.6
2020-05-05,51.6,50.95,53.28,156609226.4,53.13
2020-05-04,53.13,52.83,54.47,123558788.1,54.82
2020-04-30,54.82,53.97,55.66,143956695.35,55.46
2020-04-29,55.46,54.91,56.0,321190815.6,56.1
2020-04-28,56.1,54.07,56.1,137826107.55,55.16
2020-04-27,55.16,54.96,56.2,123183742.65,55.46
2020-04-24,55.46,54.77,55.46,168647264.6,54.52
2020-04-22,54.52,54.52,55.76,150504763.35,54.96
2020-04-21,54.96,54.96,56.75,103430628.6,56.1
2020-04-20,56.1,54.82,56.2,161572051.0,55.21
2020-04-17,55.21,53.87,55.21,151521788.7,55.21
2020-04-17,55.21,53.87,55.21,151521788.7,54.07
2020-04-16,54.07,53.48,55.36,293496462.8,53.63
2020-04-15,53.63,50.16,54.47,538905842.7,51.35
2020-04-14,51.35,50.75,51.79,153389798.4,51.05
2020-04-13,51.05,51.05,51.75,105596314.3,51.15
2020-04-10,51.15,50.95,52.49,173522056.25,50.01
2020-04-09,50.01,49.62,50.01,106296442.1,49.81
2020-04-08,49.81,49.28,49.86,93910749.12,49.4
2020-04-07,49.4,49.4,50.66,223353415.02,49.81
2020-04-06,49.81,49.67,50.16,81657752.15,49.71
2020-04-03,49.71,49.57,50.51,85626089.6,50.51
2020-04-02,50.51,49.52,51.3,129731268.5,50.8
2020-04-01,50.8,49.46,50.8,108304419.01,49.67
2020-03-31,49.67,49.46,50.26,112773634.22,49.62
2020-03-30,49.62,49.44,51.25,130038571.76,49.52
2020-03-27,49.52,49.52,51.7,103809898.5,51.45
2020-03-26,51.45,49.86,51.89,156562822.8,51.25
2020-03-25,51.25,50.75,53.18,172808791.6,52.74
2020-03-24,52.74,52.04,53.43,230913983.55,51.5
2020-03-23,51.5,48.23,53.13,264630645.64,49.34
2020-03-20,49.34,49.34,55.06,230875324.56,51.7
2020-03-19,51.7,48.92,52.49,207411018.14,48.72
2020-03-18,48.72,43.36,49.12,170844522.92,45.14
2020-03-17,45.14,44.57,48.13,112296294.6,46.55
2020-03-16,46.55,45.3,50.31,98231009.36,49.96
2020-03-13,49.96,49.32,53.08,139785945.43,51.75
2020-03-12,51.75,49.42,58.48,243231361.43,54.86
2020-03-11,54.86,49.52,59.22,294326106.5,50.8
2020-03-10,50.8,50.66,52.59,88375935.8,51.25
2020-03-09,51.25,50.26,52.14,117416393.0,52.29
2020-03-06,52.29,50.11,56.75,115808183.75,51.7
2020-03-05,51.7,48.53,51.7,122356029.73,48.37
2020-03-04,48.37,47.4,48.47,74123865.62,47.54
2020-03-03,47.54,46.78,47.83,110216871.56,46.74
2020-03-02,46.74,46.15,47.67,123572802.48,47.58
2020-02-28,47.58,45.56,47.58,93511112.94,47.36
2020-02-27,47.36,47.16,47.87,132463396.02,47.91
2020-02-26,47.91,46.17,47.91,131966839.34,46.66
2020-02-25,46.66,46.66,47.95,107315257.48,47.79
2020-02-24,47.79,47.04,48.11,116694285.4,48.01
2020-02-21,48.01,47.12,48.01,142738662.68,47.69
2020-02-20,47.69,47.34,47.97,267557410.28,47.3
2020-02-19,47.3,46.74,47.3,71882115.96,47.0
2020-02-18,47.0,46.7,47.12,54936605.74,46.98
2020-02-17,46.98,46.86,47.5,39942627.92,47.08
2020-02-14,47.08,46.66,47.4,76494553.84,47.16
2020-02-13,47.16,46.66,47.2,64509212.74,47.0
2020-02-12,47.0,47.0,47.93,119865844.28,47.44
2020-02-11,47.44,47.16,47.87,102989471.28,47.14
2020-02-10,47.14,46.78,47.75,129167027.1,47.65
2020-02-07,47.65,47.6,48.35,79510964.98,48.19
2020-02-06,48.19,47.97,48.82,67285666.04,48.17
