Date,adjclose,low,high,volume,open
2020-05-29,14.17,13.52,14.28,135247974.72,13.79
2020-05-28,13.79,13.65,14.01,59290416.71,13.84
2020-05-27,13.84,13.71,14.03,114233071.12,13.62
2020-05-22,13.62,13.5,13.94,96356320.7,13.82
2020-05-21,13.82,13.35,14.12,283760839.32,13.3
2020-05-20,13.3,13.24,13.43,84661981.94,13.24
2020-05-18,13.24,13.2,13.44,72576569.49,13.11
2020-05-15,13.11,13.01,13.41,115844427.83,12.98
2020-05-14,12.98,12.75,13.3,199776898.29,13.04
2020-05-13,13.04,12.85,13.3,173781673.65,12.56
2020-05-12,12.56,12.47,12.67,57449456.24,12.48
2020-05-11,12.48,12.46,12.89,41596705.97,12.77
2020-05-08,12.77,12.72,13.38,55136057.41,13.26
2020-05-07,13.26,13.25,13.55,71840423.93,13.43
2020-05-06,13.43,13.1,13.65,217375018.03,13.16
2020-05-05,13.16,13.12,13.39,43400475.02,13.2
2020-05-04,13.2,12.78,13.5,102540076.96,13.22
2020-04-30,13.22,13.0,13.46,110659546.24,13.17
2020-04-29,13.17,13.1,13.45,79901113.89,13.1
2020-04-28,13.1,12.3,13.56,240667260.72,12.75
2020-04-27,12.75,11.78,12.84,159661648.63,11.68
2020-04-24,11.68,11.68,11.92,65016963.32,11.81
2020-04-22,11.81,11.57,12.04,84797691.5,11.55
2020-04-21,11.55,11.19,11.6,76400941.55,11.31
2020-04-20,11.31,11.21,11.48,51026418.15,11.3
2020-04-17,11.3,11.27,11.61,78507488.73,11.27
2020-04-16,11.27,11.08,11.44,70267891.77,11.3
2020-04-15,11.3,10.7,11.83,130710214.69,11.25
2020-04-14,11.25,10.95,11.34,109190056.35,10.83
2020-04-13,10.83,10.5,10.96,51869714.72,11.0
2020-04-10,11.0,10.95,11.2,61719038.92,11.04
2020-04-09,11.04,10.82,11.17,126858728.5,10.8
2020-04-08,10.8,10.47,10.94,51318031.08,10.6
2020-04-07,10.6,10.53,11.05,110439329.28,10.52
2020-04-06,10.52,10.38,10.65,53069280.48,10.2
2020-04-03,10.2,10.15,10.49,34421926.69,10.23
2020-04-02,10.23,10.13,10.6,23919638.11,10.36
2020-04-01,10.36,10.28,10.65,50263841.61,10.55
2020-03-31,10.55,10.54,10.85,40861219.64,10.3
2020-03-30,10.3,10.02,10.41,35485924.32,10.1
2020-03-27,10.1,10.1,10.94,124263121.11,10.27
2020-03-26,10.27,9.78,10.33,78862284.1,10.05
2020-03-25,10.05,9.94,10.68,101613025.23,9.96
2020-03-24,9.96,9.38,9.99,64430912.21,9.1
2020-03-23,9.1,8.94,9.39,33605313.06,9.53
2020-03-20,9.53,9.36,10.0,46427411.83,9.36
2020-03-19,9.36,9.21,10.0,37299327.23,9.56
2020-03-18,9.56,8.86,10.06,60914770.76,9.18
2020-03-17,9.18,8.38,9.4,55755792.52,8.91
2020-03-16,8.91,8.91,9.8,29384921.51,9.9
2020-03-13,9.9,8.55,9.9,41754536.09,9.0
2020-03-12,9.0,9.0,10.49,38715643.75,10.84
2020-03-11,10.84,10.56,11.45,26979242.47,11.3
2020-03-10,11.3,11.25,12.65,34095871.87,12.1
2020-03-09,12.1,11.85,12.94,40041442.43,13.22
2020-03-06,13.22,13.09,13.81,33272766.23,13.68
2020-03-05,13.68,13.68,14.24,38803437.09,13.9
2020-03-04,13.9,13.88,15.0,80651133.52,14.37
2020-03-03,14.37,14.32,14.67,44357947.82,14.24
2020-03-02,14.24,14.06,15.15,96207094.13,14.0
2020-02-28,14.0,13.02,14.46,44782606.63,14.66
2020-02-27,14.66,14.66,16.03,43749051.42,15.9
2020-02-26,15.9,15.79,16.11,61968507.1,15.88
2020-02-25,15.88,15.88,16.64,119571022.9,16.06
2020-02-24,16.06,15.8,16.25,51651245.25,16.4
2020-02-21,16.4,15.73,16.6,96322286.67,16.05
2020-02-20,16.05,15.55,17.68,196599839.87,16.75
2020-02-19,16.75,16.56,17.15,56244431.73,16.98
2020-02-18,16.98,16.76,17.23,84381646.17,16.77
2020-02-17,16.77,16.52,17.26,53828221.92,16.91
2020-02-14,16.91,16.68,17.6,92645204.51,17.5
2020-02-13,17.5,16.56,17.84,247535285.62,16.54
2020-02-12,16.54,16.2,16.85,143193227.32,16.4
2020-02-11,16.4,16.02,16.63,204426682.17,16.0
2020-02-10,16.0,15.0,16.7,262528095.52,15.77
2020-02-07,15.77,15.77,17.16,301650958.6,16.27
2020-02-06,16.27,14.8,17.05,544138014.04,14.78
2020-02-05,14.78,14.34,14.85,136431665.96,14.31
2020-02-04,14.31,14.25,14.43,50656318.03,14.2
2020-02-03,14.2,13.91,14.35,74708996.02,13.91
2020-01-31,13.91,13.81,14.08,41740740.94,13.8
2020-01-30,13.8,13.55,13.94,39799674.22,13.81
2020-01-29,13.81,13.76,14.19,38992268.76,13.81
2020-01-28,13.81,13.75,14.17,29754061.23,14.02
2020-01-27,14.02,14.0,14.32,25863461.32,14.19
2020-01-24,14.19,14.18,14.5,29963681.02,14.3
2020-01-23,14.3,14.15,14.49,54326401.6,14.21
2020-01-22,14.21,14.19,14.48,37441992.74,14.37
2020-01-21,14.37,14.3,14.55,41707904.72,14.48
2020-01-20,14.48,14.3,14.73,70058912.45,14.36
2020-01-17,14.36,14.12,14.59,60323256.58,14.18
2020-01-16,14.18,14.03,14.85,83265827.54,14.58
2020-01-15,14.58,14.53,15.11,97911791.99,14.87
2020-01-14,14.87,14.21,14.9,127888660.69,14.36
2020-01-13,14.36,14.17,14.37,68864149.87,14.15
2020-01-10,14.15,14.06,14.51,64273353.51,14.41
2020-01-09,14.41,13.85,14.54,169368624.9,13.61
2020-01-08,13.61,13.2,13.88,103490844.84,13.76
2020-01-07,13.76,13.26,13.86,143929215.93,13.21
2020-01-06,13.21,13.0,13.44,128492271.21,13.27
2020-01-03,13.27,12.74,13.32,156997320.16,12.94
2020-01-02,12.94,12.7,13.02,58966343.95,12.62
2019-12-31,12.62,12.62,12.91,32687736.6,12.82
2019-12-30,12.82,12.6,13.17,95976841.25,13.07
2019-12-27,13.07,13.05,14.14,187790326.21,13.86
2019-12-26,13.86,13.48,14.51,159676255.34,14.32
2019-12-25,14.32,13.89,14.4,125746656.24,14.06
2019-12-24,14.06,14.0,14.49,97778233.9,14.21
2019-12-23,14.21,13.46,14.45,399648524.79,13.35
2019-12-20,13.35,13.26,13.54,117421228.05,13.35
2019-12-19,13.35,12.98,13.67,322136326.26,12.94
2019-12-18,12.94,12.92,13.13,84788693.52,13.12
2019-12-17,13.12,12.95,13.29,137281441.91,13.05
2019-12-16,13.05,12.76,13.13,146272177.6,12.8
2019-12-13,12.8,12.7,13.18,204592936.37,12.75
2019-12-12,12.75,12.71,13.1,159943092.1,12.96
2019-12-11,12.96,12.14,13.22,455293823.02,12.15
2019-12-10,12.15,11.94,12.52,130246056.85,12.26
2019-12-09,12.26,12.12,12.43,132184691.04,12.15
2019-12-06,12.15,11.69,12.33,191687492.32,11.8
2019-12-05,11.8,11.78,11.97,82975004.41,11.73
2019-12-04,11.73,11.49,11.74,100075593.79,11.49
2019-12-03,11.49,11.35,11.8,175570468.91,11.32
2019-12-02,11.32,11.1,11.46,142792896.23,11.01
2019-11-29,11.01,11.01,11.28,88371143.29,11.08
2019-11-28,11.08,10.93,11.19,88081250.34,10.88
2019-11-27,10.88,10.58,11.09,125243213.97,10.6
2019-11-26,10.6,10.24,10.67,64935544.83,10.43
2019-11-25,10.43,10.38,10.86,44339802.69,10.74
2019-11-22,10.74,10.69,11.0,61444062.19,10.85
2019-11-21,10.85,10.82,11.05,34924790.07,10.95
2019-11-20,10.95,10.88,11.2,85939725.65,11.0
2019-11-19,11.0,10.99,11.17,66710684.22,10.98
2019-11-18,10.98,10.94,11.1,44643842.4,10.89
2019-11-15,10.89,10.89,11.12,53963897.24,10.84
2019-11-14,10.84,10.8,11.13,28204959.74,11.02
2019-11-13,11.02,10.83,11.35,61491487.48,11.05
2019-11-12,11.05,10.79,11.21,71103834.88,10.8
2019-11-11,10.8,10.76,10.96,34754432.06,10.84
2019-11-08,10.84,10.6,10.99,70353998.4,10.83
2019-11-07,10.83,10.69,11.24,105378478.14,10.44
2019-11-06,10.44,10.38,10.65,36280147.78,10.44
2019-11-05,10.44,10.12,10.58,60501569.61,10.14
2019-11-04,10.14,10.07,10.23,21382638.21,10.07
2019-11-01,10.07,10.02,10.25,17475031.17,10.19
2019-10-31,10.19,10.06,10.28,24167608.54,10.12
2019-10-30,10.12,10.06,10.27,32081042.92,10.28
2019-10-28,10.28,10.0,10.44,22788064.22,10.34
2019-10-25,10.34,10.31,10.68,82643952.01,10.39
2019-10-24,10.39,10.25,10.8,48994422.35,10.6
2019-10-23,10.6,10.05,10.68,66572205.74,9.89
2019-10-22,9.89,9.76,10.0,40753298.26,9.74
2019-10-21,9.74,9.45,9.82,31672132.09,9.6
2019-10-18,9.6,9.58,9.9,32407713.06,9.4
2019-10-17,9.4,9.16,9.55,52596710.18,9.14
2019-10-16,9.14,9.12,9.34,25256203.14,9.39
2019-10-15,9.39,9.36,9.62,26110651.85,9.39
2019-10-14,9.39,9.31,9.8,32898097.31,9.84
2019-10-11,9.84,9.78,9.97,27784818.41,9.86
2019-10-10,9.86,9.74,10.08,46201490.99,9.86
2019-10-10,9.86,9.74,10.08,46201490.99,9.88
2019-10-09,9.88,9.67,10.09,90245842.96,9.88
2019-10-09,9.88,9.67,10.09,90245842.96,9.7
2019-10-08,9.7,9.58,9.89,36098777.82,9.7
2019-10-08,9.7,9.58,9.89,36098777.82,9.83
2019-10-07,9.83,9.74,10.11,54803323.07,9.83
2019-10-07,9.83,9.74,10.11,54803323.07,9.78
2019-10-04,9.78,9.58,9.96,43692943.7,9.78
2019-10-04,9.78,9.58,9.96,43692943.7,9.68
2019-10-03,9.68,9.63,9.89,29625147.9,9.68
