"il","ilce","mahalle_koy","kaynak_turu","kurulu_guc_kwe"
"Konya","Sarayönü","Hatıp","Güneş",200
"Konya","Karapınar","Gaziosmanpaşa","Güneş",500
"Konya","Ereğli","Zengen","Güneş",500
"Konya","Emirgazi","Merkez","Güneş",500
"Konya","Emirgazi","Merkez","Güneş",500
"Konya","Karatay","Fevziçakmak","Güneş",24.4
"Konya","Çumra","Erentepe","Güneş",990
"Konya","Tuzlukçu","Pazarkaya","Güneş",850
"Konya","Tuzlukçu","Pazarkaya","Güneş",1000
"Konya","Tuzlukçu","Pazarkaya","Güneş",1000
"Konya","Çumra","Erentepe","Güneş",993.6
"Konya","Çumra","Erentepe","Güneş",993.6
"Konya","Çumra","Erentepe","Güneş",993.6
"Konya","Çumra","Erentepe","Güneş",993.6
"Konya","Hadim","Dülgerler","Güneş",993.6
"Konya","Hadim","Dülgerler","Güneş",993.6
"Konya","Hadim","Dülgerler","Güneş",993.6
"Konya","Hadim","Dülgerler","Güneş",993.6
"Konya","Çumra","Yörükcamili","Güneş",990
"Konya","Çumra","Yörükcamili","Güneş",990
"Konya","Çumra","Yörükcamili","Güneş",990
"Konya","Çumra","Erentepe","Güneş",990
"Konya","Çumra","Avdul","Güneş",1000
"Konya","Çumra","Avdul","Güneş",1000
"Konya","Akören","Süleymaniye","Güneş",993.6
"Konya","Akören","Süleymaniye","Güneş",1000
"Konya","Kulu","Kemaliye","Güneş",960
"Konya","Kulu","Kemaliye","Güneş",960
"Konya","Kulu","Kemaliye","Güneş",960
"Konya","Kulu","Kemaliye","Güneş",960
"Konya","Karapınar","Fevzipaşa","Güneş",960
"Konya","Altınekin","Ölmez","Güneş",990
"Konya","Altınekin","Ölmez","Güneş",990
"Konya","Altınekin","Ölmez","Güneş",990
"Konya","Altınekin","Ölmez","Güneş",990
"Konya","Karapınar","Salur","Güneş",1000
"Konya","Selçuklu","İstikamet","Güneş",358.8
"Konya","Yunak","Karataş","Güneş",993.6
"Konya","Yunak","Karataş","Güneş",993.6
"Konya","Yunak","Karataş","Güneş",993.6
"Konya","Yunak","Karataş","Güneş",966
"Konya","Yunak","Karataş","Güneş",875.6
"Konya","Yunak","Karataş","Güneş",966
"Konya","Yunak","Karataş","Güneş",1000
"Konya","Yunak","Karataş","Güneş",993.6
"Konya","Sarayönü","Konar","Güneş",1000
"Konya","Sarayönü","Konar","Güneş",1000
"Konya","Güneysınır","Karasınır","Güneş",1000
"Konya","Güneysınır","Karasınır","Güneş",750
"Konya","Sarayönü","Konar","Güneş",1000
"Konya","Selçuklu","Bağrıkurt","Güneş",295.2
"Konya","Akören","Süleymanıye","Güneş",500
"Konya","Kulu","Kemaliye","Güneş",960
"Konya","Kulu","Kemaliye","Güneş",960
"Konya","Cihanbeyli","Pınarbaşı","Güneş",986
"Konya","Cihanbeyli","Pınarbaşı","Güneş",986
