Date,adjclose,low,high,volume,open
2020-05-29,30.18,29.9,30.24,580755626.78,30.06
2020-05-28,30.06,29.86,30.46,809468165.06,30.08
2020-05-27,30.08,29.52,30.3,1020823935.08,29.28
2020-05-22,29.28,29.16,29.62,579168125.52,29.56
2020-05-21,29.56,29.46,30.02,912095587.32,29.6
2020-05-20,29.6,29.2,29.82,890223603.58,29.2
2020-05-18,29.2,29.1,29.46,567841007.46,28.86
2020-05-15,28.86,28.86,29.7,732881910.24,29.22
2020-05-14,29.22,28.6,29.8,1702473284.96,28.66
2020-05-13,28.66,27.28,29.32,1905277543.6,27.42
2020-05-12,27.42,26.7,27.48,762933894.76,26.86
2020-05-11,26.86,26.6,26.9,211331528.24,26.5
2020-05-08,26.5,26.5,27.06,305554385.6,26.82
2020-05-07,26.82,26.64,27.26,402691827.1,26.9
2020-05-06,26.9,26.8,27.38,519224276.5,27.06
2020-05-05,27.06,26.34,27.14,607487217.88,26.36
2020-05-04,26.36,26.26,26.88,408193072.24,27.14
2020-04-30,27.14,26.64,27.7,678298736.2,27.4
2020-05-18,29.2,29.1,29.46,567841007.46,28.86
2020-05-15,28.86,28.86,29.7,732881910.24,29.22
2020-05-14,29.22,28.6,29.8,1702473284.96,28.66
2020-05-13,28.66,27.28,29.32,1905277543.60,27.42
2020-05-12,27.42,26.7,27.48,762933894.76,26.86
2020-05-11,26.86,26.6,26.9,211331528.24,26.5
2020-05-08,26.5,26.5,27.06,305554385.60,26.82
2020-05-07,26.82,26.64,27.26,402691827.10,26.9
2020-05-06,26.9,26.8,27.38,519224276.50,27.06
2020-05-05,27.06,26.34,27.14,607487217.88,26.36
2020-05-04,26.36,26.26,26.88,408193072.24,27.14
2020-04-30,27.14,26.64,27.7,678298736.20,27.4
2020-04-29,27.4,27.3,27.62,574579242.00,27.36
2020-04-28,27.36,27.26,27.72,545381466.98,27.48
2020-04-27,27.48,27.02,27.6,831874820.24,26.68
2020-04-24,26.68,26.28,26.8,608052638.40,26.78
2020-04-22,26.78,26.78,27.2,459777756.86,26.96
