Date,adjclose,low,high,volume,open
2020-05-29,8.12,7.82,8.12,38565946.4,7.9
2020-05-28,7.9,7.82,8.15,37654750.45,8.09
2020-05-27,8.09,8.03,8.24,51000462.49,8.05
2020-05-22,8.05,7.87,8.08,30812417.4,7.96
2020-05-21,7.96,7.9,8.15,52301190.45,7.89
2020-05-20,7.89,7.89,8.29,65561674.42,8.24
2020-05-18,8.24,7.98,8.33,112136076.44,7.84
2020-05-15,7.84,7.6,7.89,78260147.19,7.6
2020-05-14,7.6,7.4,7.75,81859908.7,7.46
2020-05-13,7.46,7.43,7.68,42984849.25,7.53
2020-05-12,7.53,7.48,7.72,52642568.56,7.48
2020-05-11,7.48,7.41,7.55,32052324.74,7.46
2020-05-08,7.46,7.38,7.54,59360975.38,7.41
2020-05-07,7.41,7.36,7.55,27776776.15,7.55
2020-05-06,7.55,7.26,7.71,99267305.48,7.39
2020-05-05,7.39,7.24,7.73,69952010.47,7.6
2020-05-04,7.6,7.51,7.8,104067788.75,7.7
2020-04-30,7.7,7.43,7.82,141348279.3,7.41
2020-04-29,7.41,7.13,7.41,73580127.11,7.13
2020-04-28,7.13,7.03,7.35,118126985.64,7.05
2020-04-27,7.05,6.79,7.1,94622585.95,6.9
2020-04-24,6.9,6.47,7.11,144460297.29,6.47
2020-04-22,6.47,6.27,6.56,57021432.8,6.28
2020-04-21,6.28,6.24,6.34,33403835.38,6.35
2020-04-20,6.35,6.33,6.44,34351741.37,6.37
2020-04-17,6.37,6.26,6.4,33141901.92,6.37
2020-04-17,6.37,6.26,6.4,33141901.92,6.29
2020-04-16,6.29,6.18,6.32,26032932.15,6.29
2020-04-16,6.29,6.18,6.32,26032932.15,6.22
2020-04-15,6.22,6.21,6.43,28481934.31,6.22
2020-04-15,6.22,6.21,6.43,28481934.31,6.41
2020-04-14,6.41,6.36,6.45,48688869.38,6.41
2020-04-14,6.41,6.36,6.45,48688869.38,6.33
2020-04-13,6.33,6.23,6.48,29238289.55,6.33
2020-04-13,6.33,6.23,6.48,29238289.55,6.32
2020-04-10,6.32,6.23,6.38,32852090.46,6.32
2020-04-10,6.32,6.23,6.38,32852090.46,6.24
2020-04-09,6.24,6.2,6.29,44079923.97,6.24
2020-04-09,6.24,6.2,6.29,44079923.97,6.21
2020-04-08,6.21,6.14,6.28,72423550.4,6.21
2020-04-08,6.21,6.14,6.28,72423550.4,6.22
2020-04-07,6.22,6.22,6.58,37889785.19,6.22
2020-04-07,6.22,6.22,6.58,37889785.19,6.49
2020-04-06,6.49,6.43,6.56,29483104.4,6.49
2020-04-06,6.49,6.43,6.56,29483104.4,6.42
2020-04-03,6.42,6.21,6.49,34464880.81,6.42
2020-04-03,6.42,6.21,6.49,34464880.81,6.23
2020-04-02,6.23,6.05,6.23,15815241.49,6.23
2020-04-02,6.23,6.05,6.23,15815241.49,6.14
2020-04-01,6.14,6.05,6.29,35999659.2,6.14
2020-04-01,6.14,6.05,6.29,35999659.2,6.18
2020-03-31,6.18,5.9,6.22,61465465.77,6.18
2020-03-31,6.18,5.9,6.22,61465465.77,5.85
2020-03-30,5.85,5.64,5.85,43274064.42,5.85
2020-03-30,5.85,5.64,5.85,43274064.42,5.66
2020-03-27,5.66,5.63,6.29,37487431.9,5.66
2020-03-27,5.66,5.63,6.29,37487431.9,6.23
2020-03-26,6.23,6.17,6.3,36356267.39,6.23
2020-03-25,6.23,6.15,6.36,23331476.16,6.23
2020-03-24,6.23,6.2,6.38,25136625.13,6.23
2020-03-24,6.23,6.2,6.38,25136625.13,6.0
2020-03-23,6.0,5.65,6.14,8921193.1,6.0
2020-03-23,6.0,5.65,6.14,8921193.1,6.18
