Date,adjclose,low,high,volume,open
2020-05-29,61.85,61.65,64.35,54522768.85,64.05
2020-05-28,64.05,64.0,69.0,36856444.4,63.05
2020-05-27,63.05,60.8,63.15,36532371.65,60.5
2020-05-22,60.5,58.65,60.8,17859450.55,59.95
2020-05-21,59.95,59.0,61.4,22108558.65,60.9
2020-05-20,60.9,60.1,61.5,26904193.75,59.75
2020-05-18,59.75,58.5,60.1,29598622.75,58.0
2020-05-15,58.0,58.0,58.95,12596020.25,58.0
2020-05-14,58.0,56.7,58.0,19177046.0,57.95
2020-05-13,57.95,57.5,58.45,18424307.4,58.15
2020-05-12,58.15,55.15,58.15,21762832.55,55.5
2020-05-11,55.5,55.0,56.6,18989539.0,54.85
2020-05-08,54.85,54.8,57.5,30144184.85,56.5
2020-05-07,56.5,56.45,59.25,32889248.45,59.0
2020-05-06,59.0,58.6,61.15,20129376.1,60.7
2020-05-05,60.7,59.0,63.7,32190853.95,61.0
2020-05-04,61.0,60.2,63.0,22098203.2,63.3
2020-04-30,63.3,61.2,64.45,27414055.05,61.55
2020-04-29,61.55,60.9,62.35,19685309.55,61.15
2020-04-28,61.15,59.8,62.4,25717689.55,60.75
2020-04-27,60.75,59.15,61.75,24684112.2,58.7
2020-04-24,58.7,58.0,59.2,20967320.0,59.1
2020-04-22,59.1,59.05,60.0,25456272.05,59.35
2020-04-21,59.35,58.0,59.9,23631494.85,60.05
2020-04-20,60.05,58.3,60.2,28430137.5,57.9
2020-04-17,57.9,57.1,58.7,32073978.75,56.25
2020-04-16,56.25,54.0,56.75,27899594.05,54.75
2020-04-15,54.75,52.2,56.4,26087494.75,56.2
2020-04-14,56.2,55.6,56.5,29497358.55,55.45
2020-04-13,55.45,55.4,56.85,18998749.7,56.9
2020-04-10,56.9,55.95,57.55,17463661.0,56.7
2020-04-09,56.7,56.6,59.05,47173227.95,58.5
2020-04-08,58.5,58.5,60.45,25846473.6,59.15
2020-04-07,59.15,58.1,63.6,80164332.25,57.85
2020-04-06,57.85,54.2,57.85,42136244.9,55.0
2020-04-03,55.0,51.5,55.0,22039805.0,53.5
2020-04-02,53.5,49.62,53.5,30142771.41,51.0
2020-04-01,51.0,48.04,51.5,33318840.8,49.28
2020-03-31,49.28,47.48,49.28,24818723.32,47.04
2020-03-30,47.04,46.52,48.7,27832770.78,48.7
2020-03-27,48.7,47.42,50.25,32313945.03,48.7
2020-03-26,48.7,48.14,49.3,27018328.74,48.9
2020-03-25,48.9,48.5,51.85,42888880.16,48.5
2020-03-24,48.5,46.38,50.05,46675298.4,45.84
2020-03-23,45.84,40.3,47.36,41084436.8,43.56
2020-03-20,43.56,41.34,44.29,44095995.16,41.21
2020-03-19,41.21,39.29,42.89,42920410.46,43.39
2020-03-18,43.39,43.39,48.15,30976541.82,47.45
2020-03-17,47.45,47.45,54.03,34297464.4,52.72
2020-03-16,52.72,52.72,58.51,17716227.55,58.56
2020-03-13,58.56,58.46,63.92,36814829.85,61.73
2020-03-12,61.73,61.31,66.25,29011900.45,65.46
2020-03-11,65.46,63.83,66.72,28172594.35,65.88
2020-03-10,65.88,65.79,72.41,25711876.95,69.29
2020-03-09,69.29,68.03,70.92,22466673.85,71.95
2020-03-06,71.95,69.99,72.41,20591826.4,71.39
2020-03-05,71.39,71.15,72.69,20488234.8,71.25
2020-03-04,71.25,70.78,73.07,38783123.1,72.93
2020-03-03,72.93,71.99,75.54,43477345.4,74.65
2020-03-02,74.65,71.76,75.4,35917006.3,72.79
2020-02-28,72.79,65.97,73.02,45518525.05,71.71
2020-02-27,71.71,71.71,74.0,54273045.7,74.47
2020-02-26,74.47,71.34,74.75,62377450.7,71.76
2020-02-25,71.76,71.39,73.25,29578105.3,72.41
2020-02-24,72.41,71.76,74.61,36575362.25,74.05
2020-02-21,74.05,73.11,74.89,25160108.6,73.53
2020-02-20,73.53,73.44,76.94,57536910.0,75.73
2020-02-19,75.73,73.63,75.73,46436688.1,72.97
2020-02-18,72.97,72.79,74.61,35461269.2,74.65
2020-02-17,74.65,74.28,75.82,21715271.3,74.37
2020-02-14,74.37,74.09,76.52,31322087.65,75.31
2020-02-13,75.31,71.01,76.47,81136715.55,70.97
2020-02-12,70.97,67.56,72.04,71754022.0,67.93
