Date,adjclose,low,high,volume,open
2020-05-29,7.43,7.43,7.55,65431982.19,7.57
2020-05-28,7.57,7.54,7.74,114272200.67,7.68
2020-05-27,7.68,7.64,7.85,240010584.54,7.58
2020-05-22,7.58,7.52,7.62,70463021.38,7.63
2020-05-21,7.63,7.56,7.72,93400654.63,7.7
2020-05-20,7.7,7.65,7.75,139980154.87,7.63
2020-05-18,7.63,7.55,7.66,149770369.36,7.47
2020-05-15,7.47,7.45,7.59,215597190.58,7.45
2020-05-14,7.45,7.27,7.63,331419979.65,7.53
2020-05-13,7.53,7.28,7.57,321034790.45,7.36
2020-05-12,7.36,7.04,7.42,361537448.44,7.05
2020-05-11,7.05,6.9,7.08,121158124.35,6.88
2020-05-08,6.88,6.88,7.24,195671985.55,7.13
2020-05-07,7.13,6.97,7.2,121344643.51,7.08
2020-05-06,7.08,7.06,7.22,115356737.13,7.16
2020-05-05,7.16,7.08,7.24,133618615.08,7.08
2020-05-04,7.08,7.02,7.43,167961067.83,7.38
2020-04-30,7.38,7.15,7.53,94273719.95,7.47
2020-05-18,7.63,7.55,7.66,149770369.36,7.47
2020-05-15,7.47,7.45,7.59,215597190.58,7.45
2020-05-14,7.45,7.27,7.63,331419979.65,7.53
2020-05-13,7.53,7.28,7.57,321034790.45,7.36
2020-05-12,7.36,7.04,7.42,361537448.44,7.05
2020-05-11,7.05,6.9,7.08,121158124.35,6.88
2020-05-08,6.88,6.88,7.24,195671985.55,7.13
2020-05-07,7.13,6.97,7.2,121344643.51,7.08
2020-05-06,7.08,7.06,7.22,115356737.13,7.16
2020-05-05,7.16,7.08,7.24,133618615.08,7.08
2020-05-04,7.08,7.02,7.43,167961067.83,7.38
2020-04-30,7.38,7.15,7.53,94273719.95,7.47
2020-04-29,7.47,7.39,7.66,152473871.41,7.34
2020-04-28,7.34,7.31,7.48,138829118.22,7.31
2020-04-27,7.31,7.17,7.36,143120435.68,7.08
2020-04-24,7.08,7.0,7.23,192781626.36,6.98
2020-04-22,6.98,6.83,7.01,98398106.69,6.83
2020-04-21,6.83,6.78,6.88,53037616.77,6.89
2020-04-20,6.89,6.78,7.01,135971717.39,6.81
2020-04-17,6.81,6.8,6.96,111355131.93,6.78
2020-04-16,6.78,6.77,6.93,82077693.60,6.76
2020-04-15,6.76,6.75,7.11,120571899.86,7.08
2020-04-14,7.08,7.01,7.15,121081525.33,7.02
2020-04-13,7.02,6.9,7.11,70922605.92,7.04
2020-04-10,7.04,7.02,7.14,57217728.78,7.12
2020-04-09,7.12,6.93,7.2,134317676.80,7.02
2020-04-08,7.02,6.72,7.03,141341045.36,6.74
2020-04-07,6.74,6.68,6.96,140644010.39,6.63
2020-04-06,6.63,6.55,6.67,68796805.95,6.49
2020-04-03,6.49,6.44,6.6,73841677.43,6.52
2020-04-02,6.52,6.44,6.57,51270389.11,6.49
2020-04-01,6.49,6.45,6.6,86474981.16,6.7
2020-03-31,6.7,6.67,6.81,77923273.91,6.65
2020-03-30,6.65,6.53,6.74,61920990.60,6.56
2020-03-27,6.56,6.54,7.06,121819174.90,7.0
2020-03-26,7.0,6.24,7.0,165349085.58,6.58
2020-03-25,6.58,6.58,7.13,164206716.62,6.78
2020-03-24,6.78,6.39,6.79,138693940.40,6.2
2020-03-23,6.2,5.81,6.32,181863472.77,6.07
2020-03-20,6.07,5.79,6.16,131498660.06,5.71
2020-03-19,5.71,5.65,5.87,76000748.39,5.75
2020-03-18,5.75,5.69,6.15,78863518.29,5.9
2020-03-17,5.9,5.35,6.05,82013657.62,5.87
2020-03-16,5.87,5.67,6.18,62630897.88,6.3
2020-03-13,6.3,5.97,6.79,110190635.76,6.2
2020-03-12,6.2,6.11,6.77,109685402.70,6.9
2020-03-11,6.9,6.64,7.23,103928355.95,6.96
2020-03-10,6.96,6.96,7.41,99585720.06,7.01
2020-03-09,7.01,6.86,7.58,118482587.75,7.8
2020-03-06,7.8,7.74,8.15,90907992.87,8.07
2020-03-05,8.07,7.97,8.24,128946967.03,7.83
2020-03-04,7.83,7.8,8.32,174673654.77,8.15
2020-03-03,8.15,7.67,8.15,76957343.29,7.56
2020-03-02,7.56,7.53,7.87,71881180.57,7.53
2020-02-28,7.53,6.83,7.83,92305769.42,8.02
2020-02-27,8.02,7.91,8.64,225045739.20,8.39
2020-02-26,8.39,8.2,8.42,141006434.50,8.37
2020-02-25,8.37,8.22,8.49,125207720.12,8.4
2020-02-24,8.4,8.21,8.61,176450251.24,8.66
2020-02-21,8.66,8.27,8.68,217941088.20,8.34
2020-02-20,8.34,8.1,8.59,211330312.89,8.56
2020-02-19,8.56,8.39,8.61,234666685.91,8.37
2020-02-18,8.37,8.28,8.45,86363010.42,8.44
2020-02-17,8.44,8.24,8.48,138551992.48,8.25
2020-02-14,8.25,8.22,8.52,277389177.74,8.24
