bikeid;rental_start_date;rental_end_date;duration;fare_(in_cents);starting_location;ending_location;rough_distance_(km);start_latitude;start_longitude;end_latitude;end_longitude
1125;2021-11-29 23:35:00;2021-11-29 23:44:00;9.0;50;37.8629403,32.4807564;37.85602951049805,32.47060012817383;1.177072483;37.8629403;32.4807564;37.85602951049805;32.47060012817383
1040;2021-11-29 21:08:00;2021-11-29 22:31:00;83.0;350;37.895555,32.5061067;37.89548873901367,32.506099700927734;0.007393438;37.895555;32.5061067;37.89548873901367;32.506099700927734
1169;2021-11-29 21:06:00;2021-11-29 21:07:00;1.0;50;37.8955005,32.5060881;37.89548873901367,32.50611877441406;0.002992486;37.8955005;32.5060881;37.89548873901367;32.50611877441406
1085;2021-11-29 20:03:00;2021-11-29 20:16:00;13.0;200;37.9482371,32.4937502;37.948211669921875,32.49375915527344;0.0029347;37.9482371;32.4937502;37.948211669921875;32.49375915527344
1247;2021-11-29 19:47:00;2021-11-29 19:54:00;7.0;50;37.8720943,32.4992723;37.87031173706055,32.486289978027344;1.156652384;37.8720943;32.4992723;37.87031173706055;32.486289978027344
1292;2021-11-29 19:47:00;2021-11-29 19:54:00;7.0;50;37.87237,32.4971374;37.87051010131836,32.48630142211914;0.973365146;37.87237;32.4971374;37.87051010131836;32.48630142211914
1123;2021-11-29 19:36:00;2021-11-29 19:41:00;5.0;50;37.877893889867934,32.48284724143207;37.87314987182617,32.4817008972168;0.537020658;37.877893889867934;32.48284724143207;37.87314987182617;32.4817008972168
1171;2021-11-29 18:46:00;2021-11-29 19:15:00;29.0;200;37.8740333,32.4896039;37.864410400390625,32.4536018371582;3.336453291;37.8740333;32.4896039;37.864410400390625;32.4536018371582
1287;2021-11-29 18:38:00;2021-11-29 19:16:00;38.0;200;37.874062,32.4895683;37.86445999145508,32.45355987548828;3.336236481;37.874062;32.4895683;37.86445999145508;32.45355987548828
1106;2021-11-29 17:27:00;2021-11-29 17:47:00;20.0;200;37.9482177,32.4937294;37.94969177246094,32.51329040527344;1.722996461;37.9482177;32.4937294;37.94969177246094;32.51329040527344
1052;2021-11-29 17:26:00;2021-11-29 17:34:00;8.0;50;37.8537265,32.4234552;37.866661071777344,32.42457962036133;1.441642257;37.8537265;32.4234552;37.866661071777344;32.42457962036133
1085;2021-11-29 17:25:00;2021-11-29 17:26:00;1.0;50;37.9482496,32.4937562;37.94820022583008,32.493778228759766;0.005820038;37.9482496;32.4937562;37.94820022583008;32.493778228759766
1215;2021-11-29 17:25:00;2021-11-29 17:47:00;22.0;200;37.9482136,32.4937707;37.94990921020508,32.51333999633789;1.726234313;37.9482136;32.4937707;37.94990921020508;32.51333999633789
1078;2021-11-29 17:23:00;2021-11-29 18:18:00;55.0;200;37.949791,32.5133081;37.949798583984375,32.51335906982422;0.004548041;37.949791;32.5133081;37.949798583984375;32.51335906982422
1240;2021-11-29 17:19:00;2021-11-29 17:47:00;28.0;200;38.0225796,32.5124697;38.01374053955078,32.521209716796875;1.245876479;38.0225796;32.5124697;38.01374053955078;32.521209716796875
1256;2021-11-29 17:18:00;2021-11-29 17:22:00;4.0;50;37.9497767,32.5132947;37.94977951049805,32.51325988769531;0.003068395;37.9497767;32.5132947;37.94977951049805;32.51325988769531
1208;2021-11-29 17:17:00;2021-11-29 17:49:00;32.0;200;38.0225532,32.5125651;38.01374816894531,32.52125930786133;1.240425672;38.0225532;32.5125651;38.01374816894531;32.52125930786133
1105;2021-11-29 17:06:00;2021-11-29 17:50:00;44.0;200;38.0090437,32.5275342;38.00905990600586,32.52745819091797;0.006898816;38.0090437;32.5275342;38.00905990600586;32.52745819091797
1292;2021-11-29 17:00:00;2021-11-29 17:28:00;28.0;200;37.8628133,32.5431949;37.87202072143555,32.4989013671875;4.020666066;37.8628133;32.5431949;37.87202072143555;32.4989013671875
1039;2021-11-29 16:54:00;2021-11-29 17:04:00;10.0;50;38.02253100769309,32.51259817954436;38.01348876953125,32.521209716796875;1.256989813;38.02253100769309;32.51259817954436;38.01348876953125;32.521209716796875
1236;2021-11-29 16:46:00;2021-11-29 17:49:00;63.0;200;38.00908401146346,32.52747402529467;38.00918960571289,32.52756118774414;0.014006409;38.00908401146346;32.52747402529467;38.00918960571289;32.52756118774414
1216;2021-11-29 16:45:00;2021-11-29 17:50:00;65.0;200;38.009098,32.5275229;38.009029388427734,32.527530670166016;0.007659571;38.009098;32.5275229;38.009029388427734;32.527530670166016
1058;2021-11-29 16:41:00;2021-11-29 17:50:00;69.0;200;38.0090927,32.5275521;38.00912094116211,32.52751159667969;0.004738533;38.0090927;32.5275521;38.00912094116211;32.52751159667969
1127;2021-11-29 16:40:00;2021-11-29 17:50:00;70.0;200;38.0090975,32.5274976;38.00914001464844,32.52751922607422;0.005092969;38.0090975;32.5274976;38.00914001464844;32.52751922607422
1233;2021-11-29 16:28:00;2021-11-29 16:29:00;1.0;50;38.01381971490089,32.52116291313721;38.013851165771484,32.52090835571289;0.02257337;38.01381971490089;32.52116291313721;38.013851165771484;32.52090835571289
1039;2021-11-29 16:25:00;2021-11-29 16:39:00;14.0;200;38.0138177,32.5211282;38.02244186401367,32.512481689453125;1.222019704;38.0138177;32.5211282;38.02244186401367;32.512481689453125
1233;2021-11-29 16:24:00;2021-11-29 16:25:00;1.0;0;38.0137652,32.5211555;38.01361083984375,32.52096939086914;0.023673556;38.0137652;32.5211555;38.01361083984375;32.52096939086914
1264;2021-11-29 16:23:00;2021-11-29 16:23:00;0.0;0;38.0137493,32.5211266;38.013710021972656,32.5211296081543;0.004375461;38.0137493;32.5211266;38.013710021972656;32.5211296081543
